"Term","Sum(Sum(Count(Document)))"
"Abbas",2
"Addis Ababa",3
"Afghanistan",34
"Africa",17
"Albania",2
"Alberta",4
"Algeria",2
"Alliance",3
"America",26
"Americas",2
"Amsterdam",2
"Andreevka",2
"Ankara",2
"Apple",2
"Arabian Peninsula",5
"Arctic",5
"Armenia",11
"Asia Pacific",5
"Asia-Pacific",4
"Asia",44
"Atlanta",3
"Atlantic",8
"Australia",5
"Austria",20
"Azerbaijan",11
"Baghdad",5
"Baltic Sea",6
"Baltic States",3
"Baltic states",8
"Baltic",15
"Beijing",35
"Belgium",8
"Belgrade",3
"Benghazi",6
"Berlin",29
"Black Sea Fleet.",2
"Black Sea Fleet",5
"Black Sea peninsula",21
"Black Sea",42
"Bosnia",4
"Boston",2
"Brazil",11
"Britain",39
"Brunei",2
"Brussels",2
"Bucharest",3
"Bulgaria",17
"Cairo",2
"Calgary",2
"California",13
"Cambodia",3
"Camp Lemonnier",2
"Canada",26
"Caribbean",2
"Caucasus",5
"Central Asia",6
"Central Europe",4
"Central",2
"Chad",6
"Chechnya",3
"Chibok",5
"Chicago",2
"Chile",2
"China Sea",20
"China",116
"Colombia",3
"Colorado",2
"Congo",5
"Copenhagen",4
"Crimea peninsula",2
"Crimea",28
"Crimean Peninsula",7
"Crimean",5
"Croatia",7
"Cuba",7
"Czech Republic",11
"Czech",3
"Czechoslovakia",3
"Denmark",16
"Diaoyu Islands",2
"Dnepropetrovsk",8
"Dnieper River",2
"Donbas",2
"Donetsk",50
"E. Europe",2
"Earth",6
"East China Sea",2
"East Germany",4
"East Ukraine",4
"East",5
"Eastern Africa",2
"Eastern Europe",36
"Eastern Ukraine",2
"Eastern",8
"Egypt",12
"El Salvador",2
"England",6
"Estonia",40
"Ethiopia",2
"Euro-Maidan",2
"Europe",276
"Fair Russia",2
"Feodosia",2
"Finland",9
"Florida",5
"France",69
"Gaza",2
"Geneva",133
"Georgia",23
"Germany",105
"Greece",18
"Guam",2
"Gulf",4
"Hawaii",2
"Horlivka",3
"Hudson",2
"Hungary",16
"Independence Square",28
"Independence",2
"Independent States",3
"India",24
"Indiana",2
"Indonesia",7
"Iran",35
"Iraq",31
"Iron Curtain",2
"Israel",15
"Istanbul",2
"Italy",30
"Jakarta",2
"Japan",46
"Kabul",7
"Kazakhstan",16
"Kharkiv",25
"Kiev.",22
"Kiev",35
"Kiev’s",2
"Kirovograd",3
"Korea",3
"Kramatorsk",35
"Krasnoyarsk",2
"Kuwait",3
"Laos",2
"Latin America",6
"Latvia",32
"Lebanon",3
"Lenin Square",24
"Leningrad",4
"Libya",25
"Lithuania",39
"London",27
"Louisiana",2
"Lugansk",9
"Luhansk",4
"Luzon",2
"Macedonia",2
"Madrid",2
"Maidan Square",2
"Malaysia",26
"Malbork",2
"Manhattan",2
"Manila",12
"Mariupol",9
"Maryland",2
"Massachusetts",2
"Mediterranean",8
"Memphis",2
"Mexico",7
"Miami",5
"Michigan",2
"Michurino",21
"Middle East",27
"Milan",3
"Morocco",2
"Moscow",404
"Munster",2
"NEW YORK",2
"Naples",2
"Netherlands",3
"New Delhi",5
"New Mexico",3
"New York City",3
"New York",17
"New Zealand",5
"Nicaragua",2
"Nigeria",17
"North Africa",5
"North America",3
"North Carolina",3
"North Caucasus",3
"North Dakota",2
"North Korea",10
"North Sea",2
"Northern Georgia",2
"Northern Ireland",2
"Norway",6
"Novoaydar",2
"Odessa",10
"Oklahoma",3
"Oktyabrskoe",7
"Ottawa",7
"Ouistreham",2
"Pacific Ocean",4
"Pacific",14
"Pakistan",12
"Paris",15
"Pennsylvania",4
"Peru",5
"Philippines",21
"Phoenix",3
"Poland",63
"Poland’s",2
"Portugal",4
"Prague",2
"Putin",7
"Pyongyang",5
"Red Square",6
"Riyadh",2
"Romania",15
"Rome",8
"Rose Garden",2
"Russia",566
"Russia’s",6
"Sahara Desert",2
"Saudi Arabia",10
"Scotland",5
"Seattle",2
"Seoul",5
"Serbia",14
"Sevastopol",3
"Seven",4
"Shanghai",17
"Siauliai Zuokniai",18
"Sicily",2
"Simferopol",21
"Singapore",3
"Slaviansk",8
"Slavyansk",10
"Slovyansk",24
"South Africa",5
"South Asia",4
"South Korea",21
"South Ossetia",4
"South Sudan",6
"Southeast Asia",5
"Soviet Union",51
"Soviet",6
"Spain",12
"Spratly Islands",2
"Spring",3
"Square",10
"St Petersburg",5
"St. George",5
"St. Petersburg International",3
"St. Petersburg",10
"Sterling",3
"Stockholm",7
"Strilkove",21
"Subic Bay",2
"Sudan",4
"Summit",3
"Sun",2
"Sunday",2
"Sweden",15
"Switzerland",33
"Syria",35
"Syrian",9
"Taiwan",14
"Tallinn",2
"Tehran",10
"Tennessee",4
"Texas",8
"Thailand",3
"Tibet",2
"Tokyo",14
"Tripoli",3
"Tunisia",2
"Turkey",10
"Turkmenistan",2
"Uganda",2
"Ukraine-Russia",2
"Ukraine",93
"Ukraine’s",9
"Ukrainian",5
"United Arab Emirates",2
"United Kingdom",6
"United Russia",3
"United States of America",3
"United States",254
"United",4
"Utah",2
"Venezuela",8
"Vienna",22
"Vietnam",19
"Virginia",2
"WASHINGTON",19
"Wales",2
"Warsaw",10
"Washington",200
"West Bank",3
"West",7
"Western Europe",6
"Western",2
"Xinhua",44
"Yugoslavia",7
"the Netherlands",8
